geo_id,geo_id_trim,county,total_pop,total_pop_U5,total_pop_U5_E,total_pop_5_9,total_pop_5_9_E,total_pop_10_14,total_pop_10_14_E,total_pop_15_19 ,total_pop_15_19 _E,total_pop_20_24,total_pop_20_24_E,total_pop_25_29,total_pop_25_29_E,total_pop_30_34,total_pop_30_34_E,total_pop_35_39,total_pop_35_39_E,total_pop_40_44,total_pop_40_44_E,total_pop_45_49,total_pop_45_49_E,total_pop_50_ 54,total_pop_50_ 54_E,total_pop_55_59,total_pop_55_59_E,total_pop_60_64,total_pop_60_64_E,total_pop_65_69,total_pop_65_69_E,total_pop_70_74,total_pop_70_74_E,total_pop_75_79,total_pop_75_79_E,total_pop_80_84,total_pop_80_84_E,total_pop_85,total_pop_85_E,total_pop_female,total_pop_female_E,female_pop_U5,female_pop_U5_E,female_pop_5_9,female_pop_5_9_E,female_pop_10_14,female_pop_10_14_E,female_pop_15_19 ,female_pop_15_19 _E,female_pop_20_24,female_pop_20_24_E,female_pop_25_29,female_pop_25_29_E,female_pop_30_34,female_pop_30_34_E,female_pop_35_39,female_pop_35_39_E,female_pop_40_44,female_pop_40_44_E,female_pop_45_49,female_pop_45_49_E,female_pop_50_ 54,female_pop_50_ 54_E,female_pop_55_59,female_pop_55_59_E,female_pop_60_64,female_pop_60_64_E,female_pop_65_69,female_pop_65_69_E,female_pop_70_74,female_pop_70_74_E,female_pop_75_79,female_pop_75_79_E,female_pop_80_84,female_pop_80_84_E,female_pop_85,female_pop_85_E
0500000US42001,42001,Adams ,103009,4740,351,5300,662,6061,761,7241,630,6944,442,5574,354,5456,451,5064,789,5828,780,6359,407,7310,274,8144,853,7290,822,7044,889,5608,814,4309,612,2243,510,2494,574,52095,423,2160,140,2122,447,3150,580,3790,472,3492,233,2681,215,2806,315,2510,518,2881,495,3156,203,3589,108,4734,575,3269,512,3186,658,3484,687,2029,408,1215,393,1841,451
0500000US42003,42003,Allegheny,1216045,63958,447,61210,3041,63068,3022,69207,519,74033,591,92828,334,95328,333,80658,3454,66692,3454,68336,434,73063,301,81745,3095,90435,3109,76168,2753,56326,2841,38365,2086,26460,1936,38165,2496,627739,249,31261,223,32754,2162,28098,2163,34341,427,37144,450,45947,334,46703,292,39449,2310,33257,2320,34970,275,37770,295,42178,1934,48361,1952,40495,1969,31457,2016,22498,1547,15746,1418,25310,1911
0500000US42005,42005,Armstrong,64735,3375,254,4083,497,2824,477,3176,30,3126,117,3447,29,3793,357,3206,538,3862,554,4057,103,4555,160,4469,672,6111,691,4680,451,3645,470,2381,481,2283,554,1662,428,32325,387,1717,247,1977,320,1291,323,1574,18,1474,40,1640,182,1579,182,1489,314,2022,319,1990,52,2318,125,2175,397,3074,417,2480,368,1752,392,1304,366,1422,395,1047,323
0500000US42007,42007,Beaver ,163929,8150,135,8899,913,8806,968,8402,630,8616,563,10420,674,9966,652,10456,1142,7721,1000,9255,380,11164,574,12146,1146,13669,1296,11445,1134,8795,1195,6474,922,5376,904,4169,840,84710,511,3942,71,4385,683,4314,678,4447,627,4150,404,5149,463,4709,438,5497,743,3696,576,4534,130,5919,575,6245,750,7147,830,5319,778,5453,848,4202,675,3075,685,2527,648
0500000US42011,42011,Berks,421164,24098,254,25762,1771,27224,1790,29262,489,27393,465,26452,418,26115,814,24638,1928,24161,2074,25617,616,28209,419,29056,2084,28964,2124,21493,2003,20984,2141,12759,1565,9337,1289,9640,1476,213764,515,11767,157,12920,1435,12795,1432,14456,466,13354,284,12867,167,13026,489,11581,1345,13223,1494,12741,443,14631,410,14168,1431,15139,1458,11571,1339,10597,1301,7175,1054,5664,1065,6089,988
0500000US42013,42013,Blair County,121829,6596,261,5952,931,7912,946,7377,413,5991,255,8317,729,7019,335,6737,994,6900,1009,7574,379,7628,137,10030,1022,7819,975,8091,721,6153,715,5517,826,3183,849,3033,549,61987,560,3141,383,2712,773,3832,822,3368,183,2947,156,3845,315,3441,92,3129,636,3706,633,4000,378,3816,182,5390,590,3843,548,4531,531,3066,525,2970,588,1790,583,2460,455
0500000US42017,42017,Bucks,628270,30324,81,32788,2325,39258,2332,37575,641,34873,1234,35634,1180,33970,1042,38521,2811,38452,2788,39929,877,45452,535,53179,3002,47657,3074,37538,1791,31291,1833,21322,1787,14722,1600,15785,1659,319857,585,14676,413,15670,1644,19835,1654,17974,418,17707,788,16869,753,16446,771,20846,1857,18978,1633,19489,661,23542,92,26958,1991,24614,2055,19298,1146,16395,1236,12023,1156,8124,1155,10413,1406
0500000US42019,42019,Butler,187853,9766,516,10215,1026,10530,1057,12057,647,10295,281,10270,437,11567,684,12223,1350,9356,1251,12508,556,13867,457,14810,1263,14248,1231,11291,1069,9477,1080,6268,1131,4600,916,4505,1043,95568,624,4758,315,5332,768,4906,762,6058,269,4973,186,5073,426,5978,569,6357,734,4181,675,6410,418,7099,346,7421,745,7146,677,5797,763,4961,764,3256,803,2283,527,3579,897
0500000US42021,42021,Cambria,130192,6190,42,6870,985,6762,972,8528,345,7885,359,6752,342,6635,374,6593,853,7228,923,7855,207,8639,425,9555,944,10285,882,10173,837,6943,764,5533,713,3275,714,4491,723,66339,543,2864,194,3822,776,2973,836,4250,312,3682,149,3134,269,3260,273,2967,534,3803,563,3881,153,4459,381,4381,618,5639,554,5410,634,3632,583,3012,524,1808,504,3362,599
0500000US42025,42025,Carbon,64182,2845,279,3070,769,3636,804,3285,503,2962,446,3314,209,3972,662,3083,929,4131,860,3893,101,5916,649,4381,730,5815,760,5180,736,2942,766,1802,625,1360,589,2595,805,32124,460,1320,95,1567,369,1727,386,1520,292,1494,238,1606,144,1827,400,1632,679,2098,507,1991,101,2776,288,1839,494,3359,533,2634,429,1479,501,1020,397,787,423,1448,479
