GEO_ID,geoid_trim,Geographic Area Name,total_18_24,total_18_24E,total_hs_less,total_hs_lessE,total_hs,total_hsE,fem_18_24,fem_18_24E,fem_18_24_hs_less,fem_18_24_hs_lessE,fem_18_24_hs,fem_18_24_hsE,fem_25_over,fem_25_overE,fem_less9,fem_less9E,fem_9_12_nd,fem_9_12_ndE,fem_25_hs,fem_25_hsE
0500000US42001,42001,"Adams County, Pennsylvania",10239,401,666,280,4984,631,5218,320,277,181,2478,573,37381,447,966,429,2395,619,16187,1286
0500000US42003,42003,"Allegheny County, Pennsylvania",105078,366,9364,2104,31273,2223,52740,208,3679,1179,15349,1686,464141,271,6148,1085,15388,2130,123644,4855
0500000US42005,42005,"Armstrong County, Pennsylvania",4227,119,356,146,2351,303,1998,40,133,89,837,218,24292,219,780,415,881,308,12420,865
0500000US42007,42007,"Beaver County, Pennsylvania",11457,574,1170,472,4227,771,5535,416,470,270,1307,437,63472,593,1078,517,3649,1002,19627,1641
0500000US42011,42011,"Berks County, Pennsylvania",40120,423,5693,1254,15129,1925,19707,167,2515,781,6690,1229,148472,430,8375,1654,10752,1586,50956,3039
0500000US42013,42013,"Blair County, Pennsylvania",9208,445,1355,617,4066,805,4350,224,848,495,1888,467,45987,366,1278,523,2796,766,18620,1643
0500000US42017,42017,"Bucks County, Pennsylvania",47973,1245,5514,1269,14639,2157,23764,753,2482,903,6947,1299,233995,858,5687,1466,9428,1675,62208,3318
0500000US42019,42019,"Butler County, Pennsylvania",15765,360,1129,559,5948,965,7930,279,380,333,2484,581,69541,464,716,338,2626,883,22169,1727
0500000US42021,42021,"Cambria County, Pennsylvania",11522,465,772,437,4335,804,5627,314,250,156,1627,460,48748,472,517,249,1959,496,21498,1204
0500000US42025,42025,"Carbon County, Pennsylvania",4099,333,916,498,1829,649,1856,94,250,186,1005,437,24496,456,466,309,1428,700,10922,1507
0500000US42027,42027,"Centre County, Pennsylvania",38136,934,1553,853,10923,1636,17140,698,782,575,5379,1065,48874,714,1080,554,2244,830,12658,1532
0500000US42029,42029,"Chester County, Pennsylvania",47846,1622,6239,1651,13006,2329,24109,990,3118,1029,6498,1339,184161,979,4493,1120,5513,1393,38839,3168
0500000US42033,42033,"Clearfield County, Pennsylvania",5404,158,918,446,2948,494,2378,43,200,131,1479,317,27897,191,1012,400,1684,482,13996,1155
0500000US42037,42037,"Columbia County, Pennsylvania",9367,311,810,452,2785,944,5030,240,440,313,1157,721,22875,358,635,318,1399,564,9264,889
0500000US42039,42039,"Crawford County, Pennsylvania",7796,211,1591,525,2638,649,3945,163,876,314,1250,359,31235,208,1497,349,1918,459,13799,1017
0500000US42041,42041,"Cumberland County, Pennsylvania",24151,1152,2668,875,6219,1105,11750,671,1300,552,2312,745,91105,769,2165,729,4694,830,27649,2109
0500000US42043,42043,"Dauphin County, Pennsylvania",22009,487,2917,808,9912,1515,10369,260,1153,651,4481,995,102014,338,3457,1360,5660,1199,34747,2624
0500000US42045,42045,"Delaware County, Pennsylvania",55825,637,5599,1592,19378,2342,28373,618,1904,1086,9476,1795,204730,692,3747,912,9287,1611,57713,3204
0500000US42049,42049,"Erie County, Pennsylvania",26112,838,3256,812,9636,1488,13097,525,1831,706,4279,803,96045,672,1866,742,6839,1303,33476,1976
0500000US42051,42051,"Fayette County, Pennsylvania",9230,294,615,304,5296,838,4002,86,273,207,1774,596,48959,218,1154,393,4409,1124,22282,1859
0500000US42055,42055,"Franklin County, Pennsylvania",11303,877,2412,819,4926,1073,5776,604,1341,654,2455,721,56462,801,2169,758,3469,878,24664,2079
0500000US42063,42063,"Indiana County, Pennsylvania",12104,997,1394,776,2858,1135,5523,927,685,556,1044,595,29138,848,1188,373,1232,409,12150,1227
0500000US42069,42069,"Lackawanna County, Pennsylvania",16800,733,1381,544,4341,1085,8349,444,696,340,2061,749,78638,524,2143,687,4548,991,28050,1954
0500000US42071,42071,"Lancaster County, Pennsylvania",48229,1065,11921,2305,17123,2062,24399,525,6800,1851,7489,1459,191729,632,12006,1832,13410,1803,66283,3481
0500000US42073,42073,"Lawrence County, Pennsylvania",6895,407,776,435,2926,600,3244,152,228,196,1542,427,32187,240,461,274,1695,544,13714,1121
0500000US42075,42075,"Lebanon County, Pennsylvania",12055,981,1145,491,6714,1288,5856,596,392,262,3124,759,50503,839,2537,933,3664,852,23361,2144
0500000US42077,42077,"Lehigh County, Pennsylvania",33469,942,3868,1548,11108,1743,16875,566,1582,949,4824,1290,131159,628,5621,1258,7785,1295,44974,2990
0500000US42079,42079,"Luzerne County, Pennsylvania",27113,722,3552,929,8828,1240,13418,510,1380,547,3385,874,115990,552,2801,887,6404,1165,46677,2405
0500000US42081,42081,"Lycoming County, Pennsylvania",9590,577,893,294,4203,872,4241,215,628,248,1417,532,41987,444,1068,356,2860,786,16277,1401
0500000US42085,42085,"Mercer County, Pennsylvania",10393,432,1103,369,4997,700,4652,221,399,257,1865,442,41207,498,1508,519,2029,611,16995,1245
0500000US42089,42089,"Monroe County, Pennsylvania",17910,1431,2714,1213,6714,1961,9166,941,1333,944,3039,1243,60479,1093,712,570,3578,1262,22106,2836
0500000US42091,42091,"Montgomery County, Pennsylvania",65786,225,6247,1175,19042,2496,33167,121,2659,740,8309,1693,306349,211,4378,1014,8954,1267,67875,3358
0500000US42095,42095,"Northampton County, Pennsylvania",30181,765,3643,871,9119,1504,14318,509,1135,589,4133,1002,111886,623,3610,1212,7794,1578,36163,2634
0500000US42097,42097,"Northumberland County, Pennsylvania",6155,300,1454,688,3046,749,2789,172,797,352,1127,426,33443,323,757,339,2578,914,16783,1514
0500000US42101,42101,"Philadelphia County, Pennsylvania",153369,679,16379,2262,50957,3928,78228,549,5734,1550,24108,2893,588500,512,27285,3341,52005,4513,186731,7697
0500000US42107,42107,"Schuylkill County, Pennsylvania",9510,363,2068,667,4063,879,4441,263,1152,601,1661,581,50877,433,1204,520,3071,674,22357,1697
