GEO_ID,geo_id_trimmed,NAME,total_pop,total_pop_U5,total_pop_U5_E,total_pop_5_9,total_pop_5_9_E,total_pop_10_14,total_pop_10_14_E,total_pop_15_19 ,total_pop_15_19 _E,total_pop_20_24,total_pop_20_24_E,total_pop_25_29,total_pop_25_29_E,total_pop_30_34,total_pop_30_34_E,total_pop_35_39,total_pop_35_39_E,total_pop_40_44,total_pop_40_44_E,total_pop_45_49,total_pop_45_49_E,total_pop_50_ 54,total_pop_50_ 54_E,total_pop_55_59,total_pop_55_59_E,total_pop_60_64,total_pop_60_64_E,total_pop_65_69,total_pop_65_69_E,total_pop_70_74,total_pop_70_74_E,total_pop_75_79,total_pop_75_79_E,total_pop_80_84,total_pop_80_84_E,total_pop_85,total_pop_85_E,total_pop_female,total_pop_female_E,female_pop_U5,female_pop_U5_E,female_pop_5_9,female_pop_5_9_E,female_pop_10_14,female_pop_10_14_E,female_pop_15_19 ,female_pop_15_19 _E,female_pop_20_24,female_pop_20_24_E,female_pop_25_29,female_pop_25_29_E,female_pop_30_34,female_pop_30_34_E,female_pop_35_39,female_pop_35_39_E,female_pop_40_44,female_pop_40_44_E,female_pop_45_49,female_pop_45_49_E,female_pop_50_ 54,female_pop_50_ 54_E,female_pop_55_59,female_pop_55_59_E,female_pop_60_64,female_pop_60_64_E,female_pop_65_69,female_pop_65_69_E,female_pop_70_74,female_pop_70_74_E,female_pop_75_79,female_pop_75_79_E,female_pop_80_84,female_pop_80_84_E,female_pop_85,female_pop_85_E
0500000US42001,42001,"Adams County, Pennsylvania",102470,5191,41,5586,324,6229,330,6769,73,6673,112,5696,93,5287,45,5219,335,5679,334,6923,100,7718,90,7722,356,7474,349,6683,306,5066,302,3540,275,2411,215,2604,214,52009,70,2586,51,2730,228,3022,225,3371,55,3291,71,2760,70,2586,27,2519,215,2883,217,3530,66,3932,68,4156,231,3616,228,3461,219,2729,216,1864,196,1323,146,1650,187
0500000US42003,42003,"Allegheny County, Pennsylvania",1221744,64170,5,61448,1363,64402,1359,71850,175,76324,177,96149,31,90776,49,75106,1368,66900,1360,72238,37,79108,3,88829,1262,88320,1270,71884,1099,51615,1099,38074,803,28183,810,36368,846,631402,54,31460,4,30074,928,31479,924,35598,180,38144,173,47631,31,44510,41,37472,896,33239,897,36771,33,41050,2,46247,914,46601,918,38126,785,29022,787,22430,725,17414,604,24134,697
0500000US42005,42005,"Armstrong County, Pennsylvania",65867,3225,16,3854,211,3340,209,3519,81,3329,54,3492,60,3514,64,3349,226,3979,218,4461,71,4824,47,5211,267,5534,281,4554,210,3392,218,2634,197,1818,180,1838,165,33106,83,1586,21,1841,142,1660,139,1725,65,1594,26,1642,28,1696,36,1605,142,2055,141,2203,43,2411,19,2576,164,2709,172,2397,133,1650,137,1487,137,1031,135,1238,137
0500000US42007,42007,"Beaver County, Pennsylvania",165833,8414,45,9157,375,8988,386,8944,158,9008,182,9787,112,9660,111,10470,494,8189,493,10068,90,11879,65,13957,515,12599,509,11149,427,7786,421,6187,334,4606,276,4985,348,85373,59,4152,26,4482,236,4363,244,4271,95,4423,109,4804,103,4793,75,5235,319,4133,296,5077,47,6129,52,7432,334,6299,333,5687,314,4377,307,3700,279,2639,218,3377,282
0500000US42009,42009,"Bedford County, Pennsylvania",48337,2333,46,2677,174,2674,166,2763,39,2591,81,2564,45,2325,42,2254,195,2936,191,3294,60,3566,47,3727,224,3882,219,3031,199,2723,195,2261,155,1257,115,1479,143,24365,86,1108,37,1300,127,1349,113,1327,34,1239,54,1222,38,1148,31,1188,113,1424,105,1596,25,1788,42,1799,125,2017,120,1492,132,1453,131,1182,115,710,94,1023,121
0500000US42011,42011,"Berks County, Pennsylvania",418025,24201,54,26437,727,26387,725,29529,89,27893,51,26409,52,24762,32,23754,788,24520,797,27126,28,29801,55,30879,842,25599,842,21963,667,17570,663,12691,677,8908,512,9596,594,212387,71,11818,5,12769,546,13017,532,14578,80,13639,30,12870,31,12393,27,11808,585,12676,603,13793,23,15174,31,15689,518,12810,521,11442,421,9300,421,7109,453,5241,356,6261,438
0500000US42013,42013,"Blair County, Pennsylvania",123157,6496,69,6774,408,7431,407,7460,110,6508,106,8219,131,6917,101,7178,418,6930,406,7774,124,8371,148,9565,483,8538,474,7864,303,5846,311,4377,324,3343,316,3566,323,62898,140,3073,67,3395,280,3503,267,3522,75,3176,79,4019,94,3351,41,3533,256,3486,264,4029,104,4262,103,4919,299,4402,301,4058,228,3191,226,2529,225,2029,219,2421,234
0500000US42015,42015,"Bradford County, Pennsylvania",60963,3642,73,3687,199,3870,204,3418,40,3287,81,3355,45,3339,64,3328,220,2928,201,3760,56,4347,34,4967,236,4364,233,3882,187,3235,186,2156,173,1511,162,1887,163,30892,84,1834,55,1869,146,1881,142,1686,30,1667,75,1625,33,1632,58,1631,172,1569,154,1889,43,2225,30,2496,159,2160,162,1939,120,1705,122,1167,115,810,118,1107,149
0500000US42017,42017,"Bucks County, Pennsylvania",626806,30294,55,33914,978,39725,984,39264,107,36094,119,34070,57,35224,77,36453,940,36783,931,43458,79,49351,84,52516,1108,45942,1107,36384,772,28239,781,19454,755,14551,597,15090,699,319146,74,14796,14,16684,589,19324,591,18735,51,17799,116,16616,57,17574,79,18887,633,18216,624,22166,45,25208,38,26926,700,23165,700,19128,453,14763,458,10803,571,8605,467,9751,534
0500000US42019,42019,"Butler County, Pennsylvania",186899,9530,38,9941,414,11216,401,12516,155,10736,165,10436,125,10701,136,10677,490,11319,509,12893,123,14073,125,15013,545,13823,522,11415,390,7864,394,5710,360,3999,311,5037,376,94368,112,4625,68,4836,297,5545,291,6049,89,5262,107,4981,80,5296,91,5350,306,5438,314,6487,75,7123,86,7615,326,6927,306,5871,259,4123,264,3118,251,2277,229,3445,286
